run_date,event_date,company,drug,event_type,title,source,link,nct_id,status
2026-03-19,,Amgen,Olpasiran,press,"Policies, Practices and Disclosures",www.amgen.com,https://www.amgen.com/about/how-we-operate/policies-practices-and-disclosures,,
2026-03-19,2026-03-02,Eli Lilly,Lepodisiran,trial,A Study to Investigate the Effect of Lepodisiran on the Reduction of Major Adverse Cardiovascular Events in Adults With Elevated Lipoprotein(a) - ACCLAIM-Lp(a),clinicaltrials.gov,https://clinicaltrials.gov/study/NCT06292013,NCT06292013,ACTIVE_NOT_RECRUITING
2026-03-19,2026-03-13,Bristol Myers Squibb / Janssen,Milvexian,trial,A Study of Milvexian in Participants After an Acute Ischemic Stroke or High-Risk Transient Ischemic Attack- LIBREXIA-STROKE,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT05702034,NCT05702034,RECRUITING
2026-03-19,2026-03-13,Bristol Myers Squibb / Janssen,Milvexian,trial,A Study of Milvexian Versus Apixaban in Participants With Atrial Fibrillation,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT05757869,NCT05757869,ACTIVE_NOT_RECRUITING
2026-03-19,2026-01-16,Bristol Myers Squibb / Janssen,Milvexian,trial,A Study of Milvexian in Participants After a Recent Acute Coronary Syndrome,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT05754957,NCT05754957,ACTIVE_NOT_RECRUITING
2026-03-19,,Bristol Myers Squibb / Janssen,Milvexian,press,The Bristol Myers Squibb Foundation,www.bms.com,https://www.bms.com/about-us/responsibility/bristol-myers-squibb-foundation.html,,
2026-03-19,2026-03-03,Idorsia / Viatris,Selatogrel,trial,Selatogrel Outcome Study in Suspected Acute Myocardial Infarction,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT04957719,NCT04957719,ENROLLING_BY_INVITATION
2026-03-19,2025-07-09,Idorsia / Viatris,Selatogrel,trial,A Medical Research Study to Evaluate the Effects of ACT-246475 in Adults With Heart Attack,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT03487445,NCT03487445,COMPLETED
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Newsroom,newsroom.viatris.com,https://newsroom.viatris.com/home,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Press Releases,newsroom.viatris.com,https://newsroom.viatris.com/press-releases,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Stories and Viewpoints,newsroom.viatris.com,https://newsroom.viatris.com/stories-and-viewpoints,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Research and Reports,newsroom.viatris.com,https://newsroom.viatris.com/research-and-reports,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Media Resources,newsroom.viatris.com,https://newsroom.viatris.com/media,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Continue to country page,newsroom.viatris.com,https://newsroom.viatris.com/en-my/lm/Malaysia,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Sign Up for Email Alerts,newsroom.viatris.com,https://newsroom.viatris.com/email-alerts?type=2,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,2026-02-26-Viatris-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results,newsroom.viatris.com,https://newsroom.viatris.com/2026-02-26-Viatris-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Photos 2,newsroom.viatris.com,https://newsroom.viatris.com/2026-02-26-Viatris-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results#assets_2429_123903-140,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,2026-02-26-Viatris-Maintains-Dividend-Policy-for-2026-and-Announces-Quarterly-Dividend,newsroom.viatris.com,https://newsroom.viatris.com/2026-02-26-Viatris-Maintains-Dividend-Policy-for-2026-and-Announces-Quarterly-Dividend,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,2026-02-25-FDA-Accepts-Viatris-Supplemental-New-Drug-Application-for-MR-141-Phentolamine-Ophthalmic-Solution-0-75-for-the-Treatment-of-Presbyopia,newsroom.viatris.com,https://newsroom.viatris.com/2026-02-25-FDA-Accepts-Viatris-Supplemental-New-Drug-Application-for-MR-141-Phentolamine-Ophthalmic-Solution-0-75-for-the-Treatment-of-Presbyopia,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,"2026-02-03-Viatris-to-Report-Fourth-Quarter-and-Full-Year-2025-Financial-Results-on-February-26,-2026,-and-Host-Investor-Event-on-March-19,-2026",newsroom.viatris.com,"https://newsroom.viatris.com/2026-02-03-Viatris-to-Report-Fourth-Quarter-and-Full-Year-2025-Financial-Results-on-February-26,-2026,-and-Host-Investor-Event-on-March-19,-2026",,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,2026-02-03-Viatris-Appoints-Matthew-J-Maletta-as-Chief-Legal-Officer,newsroom.viatris.com,https://newsroom.viatris.com/2026-02-03-Viatris-Appoints-Matthew-J-Maletta-as-Chief-Legal-Officer,,
2026-03-19,,Idorsia / Viatris,Selatogrel,press,Photos 1,newsroom.viatris.com,https://newsroom.viatris.com/2026-02-03-Viatris-Appoints-Matthew-J-Maletta-as-Chief-Legal-Officer#assets_2429_123898-140,,
